367.56,orc warrior,/character/eu/twisting-nether/Gahktur,,34
379.19,orc mage,/character/eu/twisting-nether/Clonmel,23.40,37
381.06,troll priest,/character/eu/twisting-nether/Holydyn,,37
384.50,blood elf rogue,/character/eu/twisting-nether/Windslice,,37
323.31,blood elf monk,/character/eu/twisting-nether/Bigfisted,,19
350.31,blood elf warlock,/character/eu/twisting-nether/Schki,,21
351.44,troll druid,/character/eu/twisting-nether/Shadowfac%C3%A9,,20
373.69,mag'har orc shaman,/character/eu/twisting-nether/G%C3%B3nz%C3%B3,,33
349.56,blood elf mage,/character/eu/twisting-nether/Reimage,,20
355.19,undead rogue,/character/eu/twisting-nether/%C3%86sk%C3%ADya,,25
362.94,blood elf hunter,/character/eu/twisting-nether/Blondehunt,,27
382.25,undead rogue,/character/eu/twisting-nether/Unselrog,,34
385.81,blood elf demon hunter,/character/eu/twisting-nether/Unselans,,35
277.44,tauren druid,/character/eu/twisting-nether/Lokos,,9
372.31,undead rogue,/character/eu/twisting-nether/V%C3%A1ranasi,,37
351.81,blood elf deathknight,/character/eu/twisting-nether/Ardevox,,28
351.75,blood elf demon hunter,/character/eu/twisting-nether/Miroslava,,30
363.69,blood elf demon hunter,/character/eu/twisting-nether/Nom%C3%AAd,,28
347.00,blood elf hunter,/character/eu/twisting-nether/Karameer,,22
297.25,blood elf mage,/character/eu/twisting-nether/Fa%C3%A9ron,,13
343.31,troll mage,/character/eu/twisting-nether/Tenolda,,25
308.31,blood elf paladin,/character/eu/twisting-nether/Grelfen,,18
379.81,goblin shaman,/character/eu/twisting-nether/Thuzerbuck,,37
359.75,blood elf paladin,/character/eu/twisting-nether/Karamer,,24
391.69,blood elf demon hunter,/character/eu/twisting-nether/Avidya,78.34,42
341.31,blood elf demon hunter,/character/eu/twisting-nether/Schokh,,19
274.13,undead priest,/character/eu/twisting-nether/Healofcorpse,,17
380.44,troll druid,/character/eu/twisting-nether/Mojofreak,,32
337.25,undead mage,/character/eu/twisting-nether/Colddead,,19
336.19,troll druid,/character/eu/twisting-nether/Bloodmanee,,23
336.13,blood elf warrior,/character/eu/twisting-nether/Kutalakan,,20
395.44,blood elf paladin,/character/eu/twisting-nether/Ashfall,415.67,42
381.25,blood elf mage,/character/eu/twisting-nether/M%C3%A9gumi,,31
375.81,troll druid,/character/eu/twisting-nether/Caetes,,30
375.56,blood elf demon hunter,/character/eu/twisting-nether/Cagn,,28
373.75,blood elf monk,/character/eu/twisting-nether/X%C3%A8njo,,26
381.81,blood elf priest,/character/eu/twisting-nether/Denimchicken,,33
373.75,orc warlock,/character/eu/twisting-nether/Rivock,,26
383.56,undead rogue,/character/eu/twisting-nether/Toros,,32
397.31,undead monk,/character/eu/twisting-nether/Zhann,164.64,32
379.88,mag'har orc warrior,/character/eu/twisting-nether/Eltengri,,30
380.25,undead warlock,/character/eu/twisting-nether/Veilfang,,33
376.25,nightborne warlock,/character/eu/twisting-nether/%C3%84zat%C3%B8th,,26
377.25,blood elf demon hunter,/character/eu/twisting-nether/Itinuelaa,,29
381.06,blood elf warrior,/character/eu/twisting-nether/Phance,,32
378.81,orc shaman,/character/eu/twisting-nether/Yourlasthop%C3%A9,,34
375.19,blood elf deathknight,/character/eu/twisting-nether/Sorot,,30
368.63,troll druid,/character/eu/twisting-nether/Dapaw,,25
382.13,blood elf deathknight,/character/eu/twisting-nether/Cyxrona,,33
371.31,blood elf paladin,/character/eu/twisting-nether/Fuh,,34
372.56,blood elf paladin,/character/eu/twisting-nether/Ka%C3%ADrel,,29
367.56,undead priest,/character/eu/twisting-nether/Lothrinus,,29
374.44,undead rogue,/character/eu/twisting-nether/Aegolism,,29
366.25,tauren druid,/character/eu/twisting-nether/Exenorium,,26
368.94,blood elf demon hunter,/character/eu/twisting-nether/Drygh%C3%A0,,25
363.69,troll hunter,/character/eu/twisting-nether/Chers,,28
378.00,troll mage,/character/eu/twisting-nether/Odyani,,30
379.13,undead rogue,/character/eu/twisting-nether/Orestes,,29
374.69,blood elf paladin,/character/eu/twisting-nether/L%C3%B8dine,,31
365.63,blood elf hunter,/character/eu/twisting-nether/Smufie,,31
369.44,undead mage,/character/eu/twisting-nether/Rhate,,24
374.81,nightborne mage,/character/eu/twisting-nether/Nobylokos,,32
365.38,undead hunter,/character/eu/twisting-nether/Obsessiomm,,29
349.94,orc warrior,/character/eu/twisting-nether/Glaci%C3%A9r,,18
351.75,orc hunter,/character/eu/twisting-nether/Gillead,,20
362.00,undead priest,/character/eu/twisting-nether/Kess%C3%AAll,,22
396.06,highmountain tauren druid,/character/eu/twisting-nether/Chaimaka,500.95,42
392.81,tauren druid,/character/eu/twisting-nether/Tryptophane,285.10,41
394.88,undead deathknight,/character/eu/twisting-nether/Brushler,354.23,40
349.63,undead hunter,/character/eu/twisting-nether/Eltengr%C3%AE,,18
380.00,blood elf demon hunter,/character/eu/twisting-nether/Rockeiter,,36
340.69,blood elf paladin,/character/eu/twisting-nether/M%C3%B2co,,19
362.06,undead rogue,/character/eu/twisting-nether/Thinblade,,25
369.75,blood elf rogue,/character/eu/twisting-nether/%C3%90rygha,,29
376.88,orc shaman,/character/eu/twisting-nether/Ragetotem,,36
387.88,pandaren monk,/character/eu/twisting-nether/Cyxro,90.81,39
372.50,undead mage,/character/eu/twisting-nether/Castingswag,,36
387.63,highmountain tauren warrior,/character/eu/twisting-nether/Mooxro,,37
374.69,blood elf deathknight,/character/eu/twisting-nether/Thedrad,,31
370.63,orc warrior,/character/eu/twisting-nether/Torvan,,31
312.31,blood elf demon hunter,/character/eu/twisting-nether/Lavanda,,27
351.06,blood elf rogue,/character/eu/twisting-nether/Infrontofyou,,22
377.56,orc shaman,/character/eu/twisting-nether/Arcwrath,85.28,34
356.00,mag'har orc shaman,/character/eu/twisting-nether/Ashihna,,34
346.13,blood elf monk,/character/eu/twisting-nether/Ja%C3%A9gon,,25
340.75,mag'har orc shaman,/character/eu/twisting-nether/Stormbr%C3%A6ker,,26
381.63,blood elf hunter,/character/eu/twisting-nether/Querlenn,,34
327.81,blood elf mage,/character/eu/twisting-nether/Diesae,,14
354.94,troll druid,/character/eu/twisting-nether/Geizin,,30
335.50,tauren druid,/character/eu/twisting-nether/G%C3%AAnnosuke,,20
347.44,undead mage,/character/eu/twisting-nether/Cryf%C3%A9x,,28
344.88,blood elf demon hunter,/character/eu/twisting-nether/Nyramns,,20
309.25,troll druid,/character/eu/twisting-nether/Eggdog,,16
339.88,orc deathknight,/character/eu/twisting-nether/Ragewinter,,15
348.63,blood elf rogue,/character/eu/twisting-nether/Skyblade,,20
361.06,undead priest,/character/eu/twisting-nether/Pectoris,,22
284.25,pandaren shaman,/character/eu/twisting-nether/Sucukkekmekk,,13
315.44,blood elf priest,/character/eu/twisting-nether/Ria%C3%A9,,16
309.81,blood elf mage,/character/eu/twisting-nether/Strangeluv,,19
367.25,undead priest,/character/eu/twisting-nether/Horace,,29
344.19,blood elf warrior,/character/eu/twisting-nether/F%C3%A9lnor,,27
380.94,blood elf paladin,/character/eu/twisting-nether/Littiherm,,36
349.19,undead mage,/character/eu/twisting-nether/Iceventura,,27
352.69,blood elf warrior,/character/eu/twisting-nether/Maxtorn,,20
366.19,blood elf demon hunter,/character/eu/twisting-nether/Maxen,,28
339.38,undead mage,/character/eu/twisting-nether/Thead,,31
373.75,orc monk,/character/eu/twisting-nether/Dobule,,36
375.94,orc warrior,/character/eu/twisting-nether/Delagg,,36
351.25,orc hunter,/character/eu/twisting-nether/Noscopeswag,,26
322.38,blood elf rogue,/character/eu/twisting-nether/Siyahikedi,,15
378.13,undead warlock,/character/eu/twisting-nether/Cyxrow,85.28,31
354.94,blood elf demon hunter,/character/eu/twisting-nether/Elebyaz,,28
351.81,troll hunter,/character/eu/twisting-nether/Qubarcore,,23
300.19,blood elf demon hunter,/character/eu/twisting-nether/Cyxrod,,15
345.13,blood elf priest,/character/eu/twisting-nether/Arr%C3%ACs,,17
363.75,orc shaman,/character/eu/twisting-nether/Tomfur,,31
342.06,undead priest,/character/eu/twisting-nether/Dycex,,20
289.31,tauren shaman,/character/eu/twisting-nether/Lharn,,12
357.94,blood elf mage,/character/eu/twisting-nether/Anatelya,,27
368.56,tauren shaman,/character/eu/twisting-nether/Albicans,,27
378.63,tauren druid,/character/eu/twisting-nether/Katututi,,25
372.75,blood elf deathknight,/character/eu/twisting-nether/Nenamotikum,,23
375.19,pandaren monk,/character/eu/twisting-nether/Lazibere,,25
368.81,blood elf demon hunter,/character/eu/twisting-nether/Hammion,,24
376.44,blood elf deathknight,/character/eu/twisting-nether/Stepfather,,25
349.50,orc hunter,/character/eu/twisting-nether/Catsman,,22
385.56,orc hunter,/character/eu/twisting-nether/Misstiky,92.81,33
360.44,nightborne mage,/character/eu/twisting-nether/Palebutt,,27
313.88,blood elf mage,/character/eu/twisting-nether/Catyro,,15
333.38,blood elf rogue,/character/eu/twisting-nether/Legendarog,,16
309.44,orc rogue,/character/eu/twisting-nether/Perkyrogue,,13
285.31,blood elf mage,/character/eu/twisting-nether/Maethonex,,12
344.44,orc shaman,/character/eu/twisting-nether/Mw%C3%A9rty,,19
336.44,orc shaman,/character/eu/twisting-nether/Joquesh,,15
281.31,troll druid,/character/eu/twisting-nether/Fancydruid,,10
352.31,blood elf demon hunter,/character/eu/twisting-nether/Rahtean,,17
301.81,troll druid,/character/eu/twisting-nether/Aranthroll,,16
293.38,blood elf paladin,/character/eu/twisting-nether/Christmasx,,11
342.81,orc deathknight,/character/eu/twisting-nether/Hakael,,21
342.44,troll druid,/character/eu/twisting-nether/Darkn%C3%A9ssfall,,18
373.31,tauren druid,/character/eu/twisting-nether/Arborvitae,,25
372.38,blood elf paladin,/character/eu/twisting-nether/Elavear,,25
369.31,nightborne rogue,/character/eu/twisting-nether/Shademisc,,23
375.31,goblin priest,/character/eu/twisting-nether/Obysey,,26
367.13,troll druid,/character/eu/twisting-nether/Ironmadem,,23
363.69,tauren paladin,/character/eu/twisting-nether/Pancam%C3%B8,,23
365.94,orc shaman,/character/eu/twisting-nether/%C3%91ergal,,26
371.69,highmountain tauren warrior,/character/eu/twisting-nether/Killjeaden,,27
372.06,mag'har orc shaman,/character/eu/twisting-nether/Wolfenstian,,30
373.19,orc hunter,/character/eu/twisting-nether/Sashashoots,,29
383.81,orc deathknight,/character/eu/twisting-nether/Offsprinq,32.22,34
367.94,tauren shaman,/character/eu/twisting-nether/Settlerr,,27
398.50,tauren druid,/character/eu/twisting-nether/Dejin,130.82,39
358.19,blood elf monk,/character/eu/twisting-nether/Cl%C3%A6ire,,19
359.63,blood elf rogue,/character/eu/twisting-nether/Hancero,,23
370.88,goblin mage,/character/eu/twisting-nether/Manivero,,23
400.25,blood elf demon hunter,/character/eu/twisting-nether/Ganbal,974.24,43
374.88,blood elf rogue,/character/eu/twisting-nether/Crahnak,,30
387.00,undead monk,/character/eu/twisting-nether/Darkojee,,32
344.50,blood elf mage,/character/eu/twisting-nether/Neri%C3%A0,,21
363.44,blood elf mage,/character/eu/twisting-nether/Byfrost,,31
366.50,blood elf mage,/character/eu/twisting-nether/Udenlol,,33
367.38,tauren warrior,/character/eu/twisting-nether/Kheva,,30
379.00,orc deathknight,/character/eu/twisting-nether/Razalgull,,38
372.00,blood elf paladin,/character/eu/twisting-nether/Macellia%C3%B3,,32
377.63,troll druid,/character/eu/twisting-nether/Pawmasta,28.84,37
372.56,blood elf hunter,/character/eu/twisting-nether/Corv,,34
348.69,undead rogue,/character/eu/twisting-nether/Juicysaplol,,18
358.94,orc deathknight,/character/eu/twisting-nether/Troda,,20
377.13,blood elf demon hunter,/character/eu/twisting-nether/Vualdar,,33
355.94,troll hunter,/character/eu/twisting-nether/Humphunter,,21
352.75,tauren druid,/character/eu/twisting-nether/Tarthus,,23
351.50,blood elf mage,/character/eu/twisting-nether/Majishan,,18
343.69,tauren druid,/character/eu/twisting-nether/Nazroght,,18
375.00,tauren warrior,/character/eu/twisting-nether/Raklem,,26
383.25,orc warrior,/character/eu/twisting-nether/Erafur,,32
375.88,orc warlock,/character/eu/twisting-nether/Nalfeshnee,,33
343.56,orc warrior,/character/eu/twisting-nether/Daimy%C3%B4,,17
364.63,blood elf demon hunter,/character/eu/twisting-nether/Bulemor,,33
353.13,blood elf deathknight,/character/eu/twisting-nether/Byorn,,26
354.00,blood elf paladin,/character/eu/twisting-nether/Misc,,18
308.00,nightborne rogue,/character/eu/twisting-nether/Anteros,,16
